Ranvier;Pauline Ranvier of France
Recher;Alice Recher of France
Rhodes;Zander Rhodes of USA
Ross;Nicole Ross
Ryan;Kelleigh Ryan of Canada
SMassialas;Sabrina Massialas of USA
Samsonova;Kristina Samsonova of Russia
Sauer;Anne Sauer of Germany
Shi;Shi Yue of China
Sinigalia;Martina Sinigalia of Italy
Sunduchkova;Alexandra Sunduchkova of Russia;
Synoradzka;Martyna Synoradzka of Poland
Thibus;Ysaora Thibus of France
Tieu;May Tieu of USA
Tsuji;Tsuji Sumire of Japan
Vardaro;Elisa Vardaro of Italy
Volpi;Alice Volpi of Italy
Weintraub;Maia Weintraub of USA
Zagidullina;Adelina Zagidullina of Russia
